,User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Last_login,Member_since,Number_of_Comments_in_public_forum,Time_spent_chating_H:M,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Friends_ID_list,Risk
18,24160.0,male,"56,2",K,Non_Verified,Heterosexual,Submisive,Women,60,before_315_days,10.1.2014,68,115:34,2.0,0.0,0.0,"24707,2336",No_risk
19,25379.0,male,"35,3",A,Non_Verified,Heterosexual,Submisive,Women,18,before_6_days,4.3.2014,3,3:25,1.0,0.0,0.0,,No_risk
20,27804.0,female,"23,8",B,Non_Verified,bisexual,Submisive,Nobody,29,before_3_days,24.6.2014,247,1:25,0.0,0.0,5.0,8696,No_risk
21,27813.0,male,"35,3",A,Non_Verified,Heterosexual,Submisive,Nobody,0,before_15_days,24.6.2014,0,3:20,0.0,0.0,0.0,,No_risk
22,3030.0,male,"36,7",A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,564,before_1_days,14.6.2011,845,0:4,0.0,0.0,0.0,32032,No_risk
23,31596.0,male,"39,3",K,Verified,Heterosexual,Dominant,Nobody_but_maybe,296,before_57_days,29.11.2014,355,20:59,0.0,0.0,0.0,"29417,17282,20332",No_risk
24,31627.0,male,"47,3",L,Non_Verified,Heterosexual,Dominant,Women,66,before_386_days,30.11.2014,166,0:0,0.0,0.0,0.0,,No_risk
25,31698.0,female,"29,7",A,Verified,bicurious,Submisive,Nobody,404,before_1_days,3.12.2014,332,9:39,0.0,3.0,11.0,"29417,42259,39854,44455,38169,9752,46324,18996,39505,19248,37801",No_risk
26,3377.0,male,"50,8",F,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,20,before_212_days,16.8.2011,42,0:1,1.0,0.0,0.0,,No_risk
27,34759.0,male,"26,8",C,Non_Verified,Heterosexual,Dominant,Women,0,before_1_days,20.4.2015,0,38:24,0.0,0.0,0.0,42882,No_risk
28,34980.0,female,"31,3",A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,0,before_725_days,4.5.2015,0,0:0,0.0,0.0,0.0,,No_risk
29,35266.0,male,"39,2",M,Non_Verified,Heterosexual,Switch,Women,0,before_11_days,20.5.2015,0,0:0,0.0,0.0,0.0,,No_risk
30,37385.0,male,"35,6",C,Verified,Heterosexual,Switch,Women,195,before_1_days,9.9.2015,168,2 272:30,2.0,4.0,3.0,"37170,31150,20332,9833",No_risk
31,37521.0,male,62,O,Non_Verified,Heterosexual,Switch,Women,56,before_1_days,17.9.2015,43,15:5,0.0,2.0,0.0,"25139,43995,35555,41486,38957",No_risk
32,3987.0,male,"28,1",L,Verified,Heterosexual,Switch,Women,226,before_9_days,17.11.2011,73,0:0,0.0,0.0,2.0,,No_risk
33,40412.0,male,"24,6",E,Non_Verified,Heterosexual,Submisive,Nobody,0,before_4_days,27.2.2016,0,0:0,0.0,0.0,0.0,,No_risk
34,42646.0,male,"22,1",E,Verified,Heterosexual,Switch,Women,90,before_1_days,2.7.2016,2,0:0,0.0,0.0,1.0,42074,No_risk
35,43605.0,female,"24,9",H,Non_Verified,bisexual,Switch,Men_and_Women,78,before_3_days,23.8.2016,62,105:4,0.0,0.0,10.0,"44736,18996,27733,42022",No_risk
36,43656.0,male,"54,3",L,Non_Verified,bisexual,Dominant,Women,32,before_3_days,26.8.2016,4,0:0,0.0,0.0,6.0,,No_risk
37,44151.0,male,"29,9",G,Non_Verified,Heterosexual,Switch,,58,before_5_days,19.9.2016,36,0:0,2.0,0.0,3.0,,No_risk
38,45230.0,male,"24,5",E,Non_Verified,Heterosexual,Switch,Women,15,before_1_days,13.11.2016,0,3:16,1.0,0.0,0.0,"38183,46745,41118,40106,46970",No_risk
39,45884.0,female,"26,4",J,Non_Verified,bisexual,Submisive,Nobody,83,before_1_days,20.12.2016,66,0:42,0.0,0.0,7.0,"48420,45919,43254,14",No_risk
40,46195.0,female,"28,6",B,Verified,Heterosexual,Submisive,Nobody_but_maybe,124,before_1_days,5.1.2017,57,120:47,0.0,0.0,1.0,"47795,48026,30039,18247,8941",No_risk
41,46629.0,male,"24,6",E,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1_days,25.1.2017,0,0:0,0.0,0.0,0.0,"46852,43140",No_risk
42,46681.0,male,"42,6",E,Non_Verified,Heterosexual,Switch,Women,0,before_30_days,28.1.2017,0,0:31,0.0,0.0,0.0,,No_risk
43,46911.0,female,"20,7",B,Non_Verified,Heterosexual,Submisive,Nobody,29,before_3_days,9.2.2017,17,0:19,0.0,0.0,1.0,"41627,17793,10774,34961,44885,38847,42345,45646,5196",No_risk
44,47601.0,male,"40,4",L,Non_Verified,Heterosexual,Switch,Women,32,before_16_days,15.3.2017,47,0:16,0.0,0.0,0.0,25977,No_risk
45,47917.0,male,"35,5",B,Non_Verified,Heterosexual,Dominant,Women,0,before_3_days,29.3.2017,0,0:25,0.0,0.0,0.0,,No_risk
46,48294.0,male,24,A,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,10,before_1_days,15.4.2017,8,0:0,0.0,0.0,2.0,,No_risk
47,6035.0,male,"52,3",A,Non_Verified,Heterosexual,Submisive,Women,114,before_1_days,2.7.2012,120,6:46,1.0,0.0,0.0,,No_risk
48,6065.0,male,"47,2",F,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,93,before_1_days,2.7.2012,78,0:26,0.0,0.0,16.0,"6233,30615,30739",No_risk
49,6163.0,male,"31,4",C,Non_Verified,Heterosexual,Dominant,Nobody,19,before_1_days,3.7.2012,7,445:42,0.0,0.0,0.0,"17515,39471,31540,42882,33026,35845,16298,30977,13028,39200,31527,28907,19347,34707,28328,42617,38657,17795",No_risk
50,6418.0,male,41,F,Non_Verified,Heterosexual,Submisive,Women,0,before_1_days,5.7.2012,34,4:50,2.0,0.0,0.0,,No_risk
51,6732.0,male,36,S,Non_Verified,bicurious,Submisive,Men_and_Women,3,before_7_days,9.7.2012,4,0:37,3.0,0.0,0.0,"11079,12617,29822,10270,43268",No_risk
52,83.0,male,"28,7",B,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,51,before_3_days,9.11.2009,96,231:18,0.0,0.0,0.0,"20546,21074",No_risk
53,8696.0,male,"41,7",A,Verified,Heterosexual,Dominant,Women,451,before_3_days,8.8.2012,771,9:19,0.0,0.0,33.0,"26651,11297,6578,27804,9507,11989,12330,26442,14635,12244,38201,35660,10864,45047,19070,28235,19366,9236,8746,31046,9886,7830",No_risk
54,881.0,male,"40,8",K,Non_Verified,Heterosexual,Switch,Women,0,before_1_days,2.5.2010,0,1:9,0.0,0.0,2.0,31757,No_risk
55,9479.0,male,"31,8",A,Non_Verified,Homosexual,Switch,Men,268,before_64_days,25.8.2012,92,0:5,0.0,0.0,33.0,"11476,21928,5073,9660,42259,14635,21430,6094,7881,9436,4808,8746,5648,9491,26991",No_risk
56,9550.0,female,"49,9",B,Verified,bisexual,Dominant,Men_and_Women,429,before_89_days,27.8.2012,267,58:57,0.0,0.0,5.0,"2460,6829,23361,10510,9436,6077,20566,8746,9636,9491,9137",No_risk
57,12262.0,male,"35,7",A,Non_Verified,Heterosexual,Submisive,Women,0,before_4_days,17.11.2012,0,0:0,0.0,0.0,0.0,,High_risk
58,12944.0,male,"41,1",A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,0,before_1_days,11.12.2012,1,0:18,1.0,0.0,0.0,14888,High_risk
59,1353.0,male,"49,6",A,Non_Verified,Heterosexual,Submisive,Nobody,15,before_11_days,9.8.2010,0,0:0,0.0,0.0,0.0,,High_risk
60,13767.0,male,"27,9",A,Non_Verified,bicurious,Submisive,Nobody,5,before_6_days,8.1.2013,0,5:50,0.0,0.0,0.0,"24866,4434,18537",High_risk
61,15172.0,male,"52,3",E,Non_Verified,Heterosexual,Submisive,Nobody,0,before_424_days,10.2.2013,0,0:0,0.0,0.0,0.0,,High_risk
62,17871.0,male,"27,3",F,Non_Verified,Heterosexual,Submisive,Women,15,before_1_days,12.5.2013,0,0:59,1.0,0.0,0.0,,High_risk
63,19635.0,female,45,A,Non_Verified,Heterosexual,Dominant,Nobody,25,before_11_days,14.7.2013,41,0:0,0.0,0.0,0.0,"11708,22111,19542",High_risk
64,21180.0,female,"33,8",S,Non_Verified,bicurious,Switch,Men_and_Women,12,before_1306_days,13.9.2013,1,41:48,0.0,0.0,0.0,"21224,16604,21252",High_risk
65,22592.0,male,"35,2",B,Non_Verified,Heterosexual,Submisive,Women,0,before_1255_days,11.11.2013,0,0:0,0.0,0.0,0.0,,High_risk
66,23282.0,male,"27,3",A,Non_Verified,bicurious,Submisive,Men_and_Women,28,before_4_days,11.12.2013,13,0:0,1.0,0.0,0.0,,High_risk
67,23362.0,male,"24,9",B,Verified,Heterosexual,Submisive,Women,512,before_4_days,14.12.2013,644,2:22,0.0,0.0,0.0,"22673,8587",High_risk
68,2460.0,male,"47,2",A,Non_Verified,Heterosexual,Submisive,Nobody,184,before_3_days,3.3.2011,222,491:51,0.0,0.0,4.0,"23178,16360,26316,17441,30348,29064,30310,28646,539,20407,3033,35969,5718,42259,42882,21404,13612,38536,13729,16740,17926,38116,35684,14888,43349,25775,34847,13998,15714,24407,6077,17231,20573,9550,22639,3985,41557,24960,15793,27148,16906,30821,21795,10651,21985,28235,24848,25678,13686,26971,15672,29038,19347,23540,39543,16649,22774,9752,24119,13645,28181,7801,34842,12011,6615,19248,23449,30429,28898,26863",High_risk
69,26123.0,male,"42,4",F,Non_Verified,bisexual,Submisive,Nobody_but_maybe,15,before_1_days,11.4.2014,0,30:27,1.0,0.0,0.0,"22828,44656",High_risk
70,34414.0,male,"34,3",A,Non_Verified,Heterosexual,Submisive,Women,25,before_1_days,1.4.2015,0,0:0,0.0,0.0,5.0,,High_risk
71,3474.0,male,"36,3",M,Verified,Heterosexual,Submisive,Nobody_but_maybe,307,before_2_days,1.9.2011,187,0:0,0.0,0.0,0.0,19366,High_risk
72,34922.0,male,30,B,Verified,Heterosexual,Submisive,Nobody_but_maybe,471,before_6_days,2.5.2015,294,1:44,0.0,0.0,19.0,,High_risk
73,35359.0,male,"36,1",A,Non_Verified,Heterosexual,Submisive,Women,48,before_3_days,24.5.2015,38,0:0,0.0,0.0,0.0,,High_risk
74,39099.0,male,"34,5",J,Non_Verified,Heterosexual,Switch,Women,50,before_1_days,19.12.2015,0,0:0,1.0,0.0,1.0,,High_risk
75,39386.0,male,"46,8",F,Non_Verified,Heterosexual,Switch,Women,55,before_3_days,3.1.2016,5,1:34,0.0,0.0,11.0,,High_risk
76,42730.0,female,"23,3",L,Verified,Heterosexual,Dominant,Nobody_but_maybe,318,before_1_days,7.7.2016,9,13:47,0.0,1.0,48.0,"41786,4607,42259,33828,10092,25977,28195,22639,18996,7555",High_risk
77,43155.0,female,"41,6",K,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,5,before_32_days,29.7.2016,8,0:21,1.0,0.0,0.0,,High_risk
78,43606.0,male,"28,6",A,Non_Verified,bicurious,Submisive,Women,68,before_3_days,23.8.2016,4,0:0,0.0,0.0,0.0,,High_risk
79,43811.0,male,"20,8",A,Non_Verified,bisexual,Submisive,Nobody,15,before_9_days,3.9.2016,0,0:0,0.0,0.0,0.0,,High_risk
80,44987.0,male,"37,7",A,Non_Verified,Heterosexual,Submisive,Women,15,before_3_days,31.10.2016,0,0:0,0.0,0.0,0.0,,High_risk
81,47131.0,male,"28,3",M,Non_Verified,bicurious,Submisive,Nobody,15,before_3_days,19.2.2017,0,0:0,0.0,0.0,0.0,,High_risk
82,48218.0,male,"43,4",H,Non_Verified,Heterosexual,Switch,Nobody,0,before_1_days,12.4.2017,0,0:0,0.0,0.0,0.0,,High_risk
83,5648.0,male,"41,4",K,Non_Verified,Homosexual,Submisive,Men,62,before_4_days,24.6.2012,30,0:0,0.0,0.0,7.0,"12766,9479,17701,26991",High_risk
84,5675.0,male,"36,2",N,Non_Verified,Heterosexual,Submisive,Women,52,before_1_days,28.6.2012,51,22:17,1.0,0.0,0.0,"29038,26863",High_risk
85,5782.0,male,"29,9",A,Non_Verified,Heterosexual,Submisive,Women,155,before_1_days,1.7.2012,209,0:46,0.0,0.0,0.0,39423,High_risk
86,6035.0,male,"52,3",A,Non_Verified,Heterosexual,Submisive,Women,114,before_1_days,2.7.2012,120,6:46,1.0,0.0,0.0,,High_risk
87,6288.0,female,"28,8",A,Non_Verified,bicurious,Dominant,Nobody,10,before_1_days,4.7.2012,11,0:2,0.0,0.0,0.0,,High_risk
88,9383.0,female,"34,2",L,Verified,Heterosexual,Switch,Nobody,1 626,before_3_days,22.8.2012,1 894,676:44,0.0,2.0,36.0,"17011,21357,21665,41241,42259,10510,14635,47332,41118,41481,4703,3985,46970,11465,18996,15703,40026,6919,6493,19248,40259",High_risk
89,1.0,male,"32,4",J,Administrator,,,Nobody,664,before_1_days,10.5.2009,1 275,271:14,0.0,0.0,0.0,"6597,5245,19410,4813,4808,21557,6493,225",High_risk
90,10001.0,male,"42,9",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1671_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
91,10003.0,male,"47,4",B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
92,10006.0,male,"35,2",D,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,0,before_49_days,6.9.2012,0,0:1,0.0,0.0,0.0,,unknown_risk
93,10007.0,female,"28,6",B,Non_Verified,Heterosexual,Switch,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
94,10009.0,male,"56,6",L,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
95,10010.0,male,"47,4",B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
96,10011.0,male,"36,6",A,Non_Verified,bisexual,Dominant,Nobody,15,before_1679_days,6.9.2012,0,0:0,1.0,0.0,0.0,,unknown_risk
97,10012.0,male,"37,3",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1691_days,6.9.2012,0,1:25,0.0,0.0,0.0,,unknown_risk
98,10013.0,male,"27,3",B,Non_Verified,bisexual,Submisive,Nobody,43,before_37_days,6.9.2012,14,0:0,1.0,0.0,0.0,,unknown_risk
99,10014.0,male,"25,8",M,Non_Verified,Heterosexual,Submisive,Nobody,15,before_5_days,6.9.2012,0,0:0,2.0,0.0,0.0,,unknown_risk
100,10015.0,male,"59,2",M,Non_Verified,Heterosexual,Dominant,Nobody,0,before_3_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
101,10016.0,male,"37,6",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
102,1002.0,male,"32,2",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_2008_days,21.5.2010,0,0:0,0.0,0.0,0.0,,unknown_risk
103,10020.0,male,28,A,Non_Verified,bisexual,Switch,Nobody,0,before_1656_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
104,10021.0,male,"48,2",N,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
105,10022.0,female,"25,9",J,Non_Verified,Heterosexual,Submisive,Nobody,3,before_1422_days,6.9.2012,3,0:0,0.0,0.0,0.0,,unknown_risk
106,10023.0,male,"45,7",E,Non_Verified,Heterosexual,Dominant,Nobody,0,before_352_days,6.9.2012,0,0:6,0.0,0.0,0.0,,unknown_risk
107,10024.0,male,"33,1",E,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
108,10025.0,male,57,B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
109,10026.0,male,"48,4",F,Non_Verified,bisexual,Submisive,Men_and_Women,a,before_1321_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
110,10027.0,male,"31,1",B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
111,10028.0,male,"34,3",A,Non_Verified,bicurious,Switch,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
112,10029.0,male,"43,4",A,Non_Verified,bisexual,Switch,Nobody_but_maybe,10,before_22_days,6.9.2012,10,68:13,0.0,0.0,0.0,,unknown_risk
113,10030.0,male,"37,1",D,Non_Verified,Heterosexual,Dominant,Nobody,0,before_531_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
114,10032.0,male,39,D,Non_Verified,Heterosexual,Dominant,Women,18,before_308_days,6.9.2012,4,16:1,1.0,0.0,0.0,,unknown_risk
115,10033.0,male,"35,5",G,Non_Verified,Heterosexual,Dominant,Women,0,before_3_days,6.9.2012,0,61:12,0.0,0.0,0.0,20088,unknown_risk
116,10035.0,female,"41,5",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1690_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
117,10036.0,male,"38,8",A,Non_Verified,bisexual,Dominant,Men_and_Women,30,before_902_days,6.9.2012,0,0:37,0.0,0.0,4.0,8191,unknown_risk
118,10039.0,male,"40,9",A,Non_Verified,Heterosexual,Submisive,,15,before_306_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
119,10041.0,female,"43,9",F,Non_Verified,bisexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
120,10043.0,male,"47,7",B,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
121,10044.0,male,"38,3",A,Non_Verified,Heterosexual,Switch,,0,before_744_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
122,10045.0,male,"41,6",A,Non_Verified,bicurious,Submisive,Men_and_Women,0,before_253_days,6.9.2012,0,0:0,1.0,0.0,0.0,,unknown_risk
123,10046.0,male,"34,3",A,Non_Verified,Heterosexual,Switch,Women,0,before_8_days,6.9.2012,0,0:0,2.0,0.0,0.0,,unknown_risk
124,10047.0,male,50,B,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1694_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
125,10048.0,female,27,A,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
126,10049.0,male,"31,1",A,Non_Verified,bisexual,Dominant,Women,15,before_71_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
127,10053.0,female,"26,2",B,Non_Verified,Heterosexual,Switch,Men,73,before_123_days,6.9.2012,96,1:56,0.0,0.0,0.0,"11356,24198,10605,15856,23927,45397,13004",unknown_risk
128,10054.0,male,"43,2",L,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1696_days,6.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
129,10055.0,male,"33,1",B,Non_Verified,Heterosexual,Switch,Nobody,0,before_1283_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
130,10057.0,female,"29,5",A,Non_Verified,bicurious,Switch,Nobody,0,before_1472_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
131,10058.0,male,"53,3",L,Non_Verified,Heterosexual,Switch,Nobody,0,before_617_days,7.9.2012,0,0:2,0.0,0.0,0.0,,unknown_risk
132,10059.0,female,"44,5",C,Non_Verified,bisexual,Submisive,Nobody,0,before_1396_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
133,10061.0,male,"42,3",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1695_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
134,10062.0,female,28,B,Non_Verified,bicurious,Switch,Nobody,0,before_1695_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
135,10064.0,male,"37,1",A,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1695_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
136,10065.0,male,"38,9",H,Non_Verified,Heterosexual,Switch,Nobody,0,before_1695_days,7.9.2012,0,1:54,0.0,0.0,0.0,,unknown_risk
137,10066.0,male,"28,8",A,Non_Verified,bicurious,Submisive,Nobody,0,before_1695_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
138,10067.0,male,"42,4",M,Non_Verified,Heterosexual,Switch,Women,0,before_1059_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
139,10068.0,male,"36,8",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1194_days,7.9.2012,0,0:35,0.0,0.0,0.0,,unknown_risk
140,10069.0,male,"37,1",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1695_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
141,10075.0,male,"28,1",E,Non_Verified,bisexual,Submisive,Nobody,0,before_1328_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
142,10076.0,male,"43,3",F,Non_Verified,Heterosexual,Submisive,Nobody,0,before_1695_days,7.9.2012,0,0:0,1.0,0.0,0.0,,unknown_risk
143,10077.0,female,"30,3",A,Non_Verified,Heterosexual,Submisive,Men,0,before_1678_days,7.9.2012,0,4:23,0.0,0.0,0.0,,unknown_risk
144,10078.0,male,"43,3",K,Non_Verified,Heterosexual,Switch,Nobody,0,before_1341_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
145,10079.0,male,"28,4",A,Non_Verified,bicurious,Switch,Nobody_but_maybe,15,before_12_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
146,10080.0,female,"26,1",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1695_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
147,10081.0,female,"25,9",A,Verified,Heterosexual,Submisive,Nobody_but_maybe,115,before_17_days,7.9.2012,0,87:55,0.0,0.0,0.0,"9483,6987",unknown_risk
148,10083.0,male,"41,1",M,Non_Verified,Heterosexual,Dominant,Nobody,0,before_770_days,7.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
149,10085.0,male,43,K,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1694_days,8.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
150,10087.0,female,"36,5",F,Non_Verified,Heterosexual,Submisive,Men,21,before_1085_days,8.9.2012,6,6:54,0.0,0.0,0.0,"18334,6757,14306,1274,10245",unknown_risk
151,10089.0,male,"46,6",F,Non_Verified,Heterosexual,Switch,Nobody,0,before_1694_days,8.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
152,10090.0,male,"33,6",A,Non_Verified,Homosexual,Submisive,Nobody,0,before_1683_days,8.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
153,10091.0,male,"39,1",A,Non_Verified,Heterosexual,Switch,Nobody,0,before_1680_days,8.9.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
154,10092.0,female,"30,4",A,Non_Verified,bisexual,Switch,Nobody,81,before_112_days,8.9.2012,29,0:18,0.0,2.0,2.0,"5245,3012,42730,14635,41984,25684,9436,4808,8746,22828,6848,9752,18996,13868,6493,37801,9137",unknown_risk
